Selections giving rise to mutants of <em>E. coli</em> and <em>S. typhimurium</em>
Type;Selection purpose and technique;Mutant gene
Resistance to biological and organic chemicals;Thiomaltose resistance;malG
Resistance to biological and organic chemicals;Thiomaltose resistance;malK
Resistance to biological and organic chemicals;Thiomaltose resistance;malT
Resistance to biological and organic chemicals;Thiomethylgalactoside-independent utilization of galactose in <em>galR</em>(Con);galR
Resistance to biological and organic chemicals;Thiopeptin resistance;rplE
Resistance to biological and organic chemicals;Thiosine resistance;argP
Resistance to biological and organic chemicals;Thymidine resistance in <em>deoC</em>;deoA
Resistance to biological and organic chemicals;Thymidine resistance in <em>deoC</em>;deoB
Resistance to biological and organic chemicals;Thymineless death prevention by low thymine levels in <em>thyA</em>;deoB
Resistance to biological and organic chemicals;Thymineless death prevention by low thymine levels in <em>thyA</em>;deoC
Resistance to biological and organic chemicals;Thymineless death resistance in <em>thyA</em>;recF
Resistance to biological and organic chemicals;Thymineless death resistance in <em>thyA</em>;recJ
Resistance to biological and organic chemicals;Thymineless death resistance in <em>thyA</em>;recO
Resistance to biological and organic chemicals;Thymineless death resistance in <em>thyA</em>;recQ
Resistance to biological and organic chemicals;Thymineless death resistance in <em>thyA</em>;alaS
Resistance to biological and organic chemicals;Thymineless death resistance in <em>thyA</em>;pheS
Resistance to biological and organic chemicals;Thymineless death resistance in <em>thyA</em>;valS
Resistance to biological and organic chemicals;Tiamulin resistance;rplC
Resistance to biological and organic chemicals;Tiamulin resistance;rplD
Resistance to biological and organic chemicals;Triazole resistance;cysB
Resistance to biological and organic chemicals;Triazole resistance;cysE
Resistance to biological and organic chemicals;Triazole resistance;cysG
Resistance to biological and organic chemicals;Triazole resistance;trzA
Resistance to biological and organic chemicals;Triazole resistance in <em>cysM</em>;cysB
Resistance to biological and organic chemicals;Triazole resistance in <em>cysM</em>;cysE
Resistance to biological and organic chemicals;Triazolealanine + aminotriazole resistance;gyrA
Resistance to biological and organic chemicals;Triazolealanine + aminotriazole resistance;gyrB
Resistance to biological and organic chemicals;Triazolealanine + aminotriazole resistance;his structural genes
Resistance to biological and organic chemicals;Triazolealanine + aminotriazole resistance;hisR
Resistance to biological and organic chemicals;Triazolealanine + aminotriazole resistance;hisS
Resistance to biological and organic chemicals;Triazolealanine + aminotriazole resistance;hisT
Resistance to biological and organic chemicals;Triazolealanine + aminotriazole resistance;hisU
Resistance to biological and organic chemicals;Triazolealanine + aminotriazole resistance;hisW
Resistance to biological and organic chemicals;Trifluorocitrate resistance;tct
Resistance to biological and organic chemicals;Trifluoroleucine resistance;flrB
Resistance to biological and organic chemicals;Trifluoroleucine resistance;ileR
Resistance to biological and organic chemicals;Trifluoroleucine resistance;leuA
Resistance to biological and organic chemicals;Trifluoroleucine resistance;leuJ
Resistance to biological and organic chemicals;Trifluoroleucine resistance;leu (generic)
Resistance to biological and organic chemicals;Trifluoroleucine resistance;leuS
Resistance to biological and organic chemicals;Trilysine resistance;oppA
Resistance to biological and organic chemicals;Trimethoprim resistance;folA
Resistance to biological and organic chemicals;Trimethoprim resistance;thyA
Resistance to biological and organic chemicals;Triornithine resistance;oppA
Resistance to biological and organic chemicals;Triornithine resistance in <em>opp</em>;tpp
Resistance to biological and organic chemicals;Tripeptide (toxic amino acid containing) resistance;oppAE
Resistance to biological and organic chemicals;Tripeptide (toxic amino acid containing) resistance;tppA
Resistance to biological and organic chemicals;Tripeptide (toxic amino acid containing) resistance;tppB
Resistance to biological and organic chemicals;Tryptophan analog resistance;aroH
Resistance to biological and organic chemicals;Uncoupler resistances;atpA–atpE
Resistance to biological and organic chemicals;Uridine resistance of <em>thyA deoB</em>;deoR
Resistance to biological and organic chemicals;Valine resistance;ilv structural genes
Resistance to biological and organic chemicals;Valine resistance;ilvB
Resistance to biological and organic chemicals;Valine resistance;ilvF
Resistance to biological and organic chemicals;Valine resistance;ilvG
Resistance to biological and organic chemicals;Valine resistance;ilvH
Resistance to biological and organic chemicals;Valine resistance;ilvI
Resistance to biological and organic chemicals;Valine resistance;ilvJ
Resistance to biological and organic chemicals;Valine resistance;livG
Resistance to biological and organic chemicals;Valine resistance;livH
Resistance to biological and organic chemicals;Valine resistance;livJ
Resistance to biological and organic chemicals;Valine resistance;livK
Resistance to biological and organic chemicals;Valine resistance;brnQ
Resistance to biological and organic chemicals;Vinylglycolate resistance;dld
Resistance to biological and organic chemicals;Vinylglycolate resistance;lct
Resistance to biological and organic chemicals;Xylitol resistance;fruA
Resistance to biological and organic chemicals;Xylose resistance in <em>fda</em>;xylE
Resistance to biological and organic chemicals;Xylose (D) + cAMP resistance;cxm
Resistance to biological agents;9NA phage resistance;pmi
Resistance to biological agents;9NA phage resistance in <em>galE</em>;kdsA
Resistance to biological agents;Bf23 phage resistance;btuB
Resistance to biological agents;C21 phage resistance;rfaD
Resistance to biological agents;Chi phage resistance;fliC (hag)
Resistance to biological agents;Chi phage resistance;motA
Resistance to biological agents;Chi phage resistance;motB
Resistance to biological agents;ES18 phage resistance;fhuA
Resistance to biological agents;ES18 phage resistance;prbA,B
Resistance to biological agents;ES18 phage resistance;sidK
Resistance to biological agents;ES18 phage resistance;tonB
Resistance to biological agents;Felix O phage resistance;galE
Resistance to biological agents;Felix O phage resistance;galU
Resistance to biological agents;Felix O phage resistance;rfaC,D,E,F,H
Resistance to biological agents;Filamentous phage tolerance;tolR
Resistance to biological agents;Filamentous phage tolerance;tolQ
Resistance to biological agents;HK009 phage resistance;prh
Resistance to biological agents;HK068 phage resistance;prk
Resistance to biological agents;Host range phage (from <em>Serratia marcescens</em>) resistance;ompC
Resistance to biological agents;K10 phage resistance;lamB
Resistance to biological agents;K3 phage resistance;ompA
Resistance to biological agents;Lambda + 434 phage resistance;mopA
Resistance to biological agents;Lambda + 434 phage resistance;mopB
Resistance to biological agents;Lambda <em>c</em>II + rifampin coresistance;rpoB
Resistance to biological agents;Lambda mutant infection resistance;gyrB (hisW)
Resistance to biological agents;Lambda mutant phage infection, survival of;himA
Resistance to biological agents;Lambda mutant phage resistance;hflC
Resistance to biological agents;Lambda mutant phage resistance;hflK
Resistance to biological agents;Lambda mutant phage resistance;hflX
Resistance to biological agents;Lambda mutant prophage induction, survival of;grpD
Resistance to biological agents;Lambda mutant prophage induction, survival of;grpE
Resistance to biological agents;Lambda phage + nalidixic acid resistance;crp
Resistance to biological agents;Lambda phage + nalidixic acid resistance;cyaA
Resistance to biological agents;Lambda phage + 434 phage cross-resistance;rpoB
Resistance to biological agents;Lambda phage gamma mutant resistance;polA
Resistance to biological agents;Lambda phage induction, resistance to;dnaJ
Resistance to biological agents;Lambda phage induction, resistance to;dnaK
Resistance to biological agents;Lambda phage resistance;envZ
Resistance to biological agents;Lambda phage resistance;gprAB
Resistance to biological agents;Lambda phage resistance;lamB
Resistance to biological agents;Lambda phage resistance;malK
Resistance to biological agents;Lambda phage resistance;malT
Resistance to biological agents;Lambda phage resistance;rap
Resistance to biological agents;Lambda phage resistance with maltose and arabinose as C sources;crp
Resistance to biological agents;Lambda phage resistance with maltose and arabinose as C sources;cyaA
Resistance to biological agents;Lambda prophage induction deficiency during thymine deprivation;recA
Resistance to biological agents;Lambda prophage induction, resistance to;rpsJ
Resistance to biological agents;Lambda prophage induction, resistance to;rpsM
Resistance to biological agents;Lambda prophage induction, survival of;nusA
Resistance to biological agents;Lambda prophage induction, survival of;nusB
Resistance to biological agents;Lambda <em>sus N7 nin-5</em> resistance in P2 lysogen;rho
Resistance to biological agents;Lambda <em>vir</em> resistance after infection with heteromodified lambda <em>c</em>I857;hsd
Resistance to biological agents;Lambdoid phage resistance;nusB
Resistance to biological agents;Lambdoid phage mixture coinfection resistance;dnaB
Resistance to biological agents;Lambdoid phage mixture coinfection resistance;dnaJ
Resistance to biological agents;Lambdoid phage mixture coinfection resistance;dnaK
Resistance to biological agents;Lambda <em>c</em>I71 resistance;rpoD
Resistance to biological agents;Lambda <em>Nmar</em> mutant phage resistance;rpoB
Resistance to biological agents;Male-specific phage resistance;arcA (fexA)
Resistance to biological agents;Me1 phage resistance;envZ
Resistance to biological agents;Me1 phage resistance;ompC
Resistance to biological agents;Me1 phage resistance;ompF
Resistance to biological agents;Me1 phage resistance;ompR
Resistance to biological agents;Mu phage lytic growth resistance;himA
Resistance to biological agents;Mu phage lytic growth resistance;himD
Resistance to biological agents;Mu prophage induction, survival of;himA
Resistance to biological agents;Mu prophage induction, survival of;himD
Resistance to biological agents;N4 phage resistance;manXYZ
Resistance to biological agents;Ox2 phage resistance;ompA
Resistance to biological agents;P1 phage resistance;galE
Resistance to biological agents;P1 phage resistance;galU
Resistance to biological agents;P1 phage resistance;lpcA
Resistance to biological agents;P1 phage resistance;rfaD
Resistance to biological agents;P1 phage specialized transduction of drug resistance to <em>Salmonella</em> sp.;sspA
Resistance to biological agents;P2 <em>vir1</em> phage resistance;rpoA
Resistance to biological agents;P2 phage + lambda phage coinfection resistance;dnaJ
Resistance to biological agents;P2 phage + lambda phage coinfection resistance;dnaK
Resistance to biological agents;P2 phage resistance;rep
Resistance to biological agents;P22 phage resistance;galE
Resistance to biological agents;P22 phage resistance;pmi
Resistance to biological agents;P221 phage resistance;praAB
Resistance to biological agents;PH105 phage resistance;ompB (ompR of E. coli)
Resistance to biological agents;PH105 phage resistance;ompC
Resistance to biological agents;PH105 phage resistance;ompF
Resistance to biological agents;PH105 phage resistance;praAB
Resistance to biological agents;PH51 phage resistance;ompB (ompR of E. coli)
Resistance to biological agents;PH51 phage resistance;ompC
Resistance to biological agents;PH51 phage resistance;ompF
Resistance to biological agents;PH51 phage resistance;praAB
Resistance to biological agents;PH51 phage resistance;prdB
Resistance to biological agents;φX174 phage resistance;phxB
Resistance to biological agents;φ80 phage resistance;fhuA
Resistance to biological agents;φ80 phage resistance;tonB
Resistance to biological agents;Q phage resistance;cpxA (ecfB, ssd, eup)
Resistance to biological agents;T-even phage resistance;ompA
Resistance to biological agents;T1 phage (UV irradiated) resistance;phr
Resistance to biological agents;T1 phage resistance;fhuA
Resistance to biological agents;T1 phage resistance;tonB
Resistance to biological agents;T2 phage resistance in <em>ompF</em>+ or <em>ompF</em>;fadL
Resistance to biological agents;T3 phage resistance;lpcA
Resistance to biological agents;T4 mutant phage resistance;lit
Resistance to biological agents;T4 phage <em>lig</em> mutant nibbling of colonies yielding <em>lig</em>-overproducing strain;lig
Resistance to biological agents;T4 phage <em>lig</em> mutant resistance from <em>lig</em>-overproducing strain;lig
Resistance to biological agents;T4 phage resistance;lpcA
Resistance to biological agents;T4 phage resistance;lpcB
Resistance to biological agents;T4 phage resistance;mopA
Resistance to biological agents;T4 phage resistance;mopB
Resistance to biological agents;T4 phage resistance;rho
Resistance to biological agents;T4 phage resistance;tabC
Resistance to biological agents;T4 phage resistance;lit
Resistance to biological agents;T4 phage (uracil containing) resistance;ung
Resistance to biological agents;T5 phage resistance;fhuA
Resistance to biological agents;T6 phage resistance;crp
Resistance to biological agents;T6 phage resistance;cyaA
Resistance to biological agents;T6 phage resistance;tsx
Resistance to biological agents;T7 phage gene 1.2 mutant resistance;optA
Resistance to biological agents;T7 phage gene 2 resistance;rpoC
Resistance to biological agents;T7 phage resistance;groM
Resistance to biological agents;T7 phage resistance;lpcA
Resistance to biological agents;T7 phage resistance;lpcB
Resistance to biological agents;T7 phage resistance;rpoB
Resistance to biological agents;T7 phage resistance;trxA
Resistance to biological agents;TC45 phage resistance;phoB
Resistance to biological agents;TC45 phage resistance;phoE
Resistance to biological agents;TC45 phage resistance;phoR
Resistance to biological agents;TC45 phage resistance;phoS
Resistance to biological agents;TC45 phage resistance;phoT
Resistance to biological agents;TC45 phage resistance;pstABCS
Resistance to biological agents;TP1 phage resistance;envZ
Resistance to biological agents;TuIa phage resistance;envZ
Resistance to biological agents;TuIa phage resistance;ompC
Resistance to biological agents;TuIa phage resistance;ompF
Resistance to biological agents;TuIa phage resistance;ompR
Resistance to biological agents;TuIa phage resistance;tolQAB
Resistance to biological agents;TuIb phage resistance;ompF
Resistance to biological agents;TuII* phage resistance;ompA
Resistance to biological agents;U3 phage + K3 phage coresistance;rfaP
Resistance to biological agents;U3 phage resistance;galE
Resistance to biological agents;U3 phage resistance;galU
Resistance to biological agents;U3 phage resistance;pgi
Resistance to biological agents;U3 phage resistance;pgm
Resistance to biological agents;U3 phage resistance;rfa (general)
Resistance to biological agents;UV-irradiated lytic phage resistance;uvrA
Resistance to biological agents;UV-irradiated lytic phage resistance;uvrB
Resistance to biological agents;UV-irradiated lytic phage resistance;uvrC
Resistance to biological agents;UV-irradiated lytic phage resistance;uvrD
Resistance to physical extremes;Cold resistance in <em>rpsE</em> cold-sensitive mutants;rpsB
Resistance to physical extremes;Cold-resistant growth;crg
Resistance to physical extremes;Filter retention;fts (generic)
Resistance to physical extremes;Freeze-thaw resistance;envZ
Resistance to physical extremes;Gamma irradiation resistance;garA
Resistance to physical extremes;Gamma irradiation resistance;garB
Resistance to physical extremes;Growth at 42°C in <em>his</em>-overexpressing strain;his structural genes
Resistance to physical extremes;Near-UV irradiation resistance;nuvA
Resistance to physical extremes;Near-UV irradiation resistance;nuvC
Resistance to physical extremes;Near-UV irradiation resistance;relA
Resistance to physical extremes;Osmotolerance;crp
Resistance to physical extremes;Osmotolerance;cyaA
Resistance to physical extremes;Osmotolerance;osmB
Resistance to physical extremes;Osmotolerance;proA
Resistance to physical extremes;Osmotolerance;proB
Resistance to physical extremes;Phage (UV-irradiated T1) resistance;phr
Resistance to physical extremes;Psoralen + UV irradiation resistance;puvA
Resistance to physical extremes;Temperature resistance in <em>rpoD</em> (Ts);rpoH
Resistance to physical extremes;Thermotolerance;gyrA
Resistance to physical extremes;UV light resistance;crp
Resistance to physical extremes;UV light resistance;cyaA
Resistance to physical extremes;UV light resistance;envB
Resistance to physical extremes;UV light resistance ;relA
Resistance to physical extremes;UV irradiation resistance in <em>lon</em>;sulA
Resistance to physical extremes;UV irradiation resistance in <em>lon</em>;ftsZ
Resistance to physical extremes;UV light + bromodeoxyuridine resistance;tdk
Resistance to physical extremes;UV light + bromodeoxyuridine resistance;ung
Resistance to physical extremes;UV light + psoralen resistance;puvA
Resistance to physical extremes;UV-irradiated lytic phage resistance;uvrA
Resistance to physical extremes;UV-irradiated lytic phage resistance;uvrB
Resistance to physical extremes;UV-irradiated lytic phage resistance;uvrC
Resistance to physical extremes;UV-irradiated lytic phage resistance;uvrD
Movement;Migration in a chemical gradient;che
Movement;Static cultivation (prolonged);fliC
